Contrastive loss: 0.099609375 | Regression loss: 2.0306100845336914
Contrastive loss: 0.083251953125 | Regression loss: 0.68308424949646
Contrastive loss: 0.2337239682674408 | Regression loss: 1.0262621641159058
Contrastive loss: 0.0974528044462204 | Regression loss: 1.0256563425064087
Contrastive loss: 0.1649576872587204 | Regression loss: 0.9496411681175232
Contrastive loss: 0.0868733748793602 | Regression loss: 0.72467041015625
Contrastive loss: 0.1075439453125 | Regression loss: 1.2466545104980469
Contrastive loss: 0.1968180388212204 | Regression loss: 0.885277509689331
Contrastive loss: 0.0821940153837204 | Regression loss: 0.8632760047912598
Contrastive loss: 0.1591796875 | Regression loss: 1.3439726829528809
Contrastive loss: 0.0747477263212204 | Regression loss: 0.6303137540817261
Contrastive loss: 0.1377767026424408 | Regression loss: 1.8845311403274536
Contrastive loss: 0.1588948667049408 | Regression loss: 0.8783193826675415
Contrastive loss: 0.1064453125 | Regression loss: 0.9574630260467529
Contrastive loss: 0.1551920622587204 | Regression loss: 0.8912887573242188
Contrastive loss: 0.205078125 | Regression loss: 0.9704429507255554
Contrastive loss: 0.1612142026424408 | Regression loss: 0.8429387807846069
Contrastive loss: 0.1416015625 | Regression loss: 1.3010063171386719
Contrastive loss: 0.1192626953125 | Regression loss: 1.3526268005371094
Contrastive loss: 0.144287109375 | Regression loss: 1.1308598518371582
Contrastive loss: 0.1184895858168602 | Regression loss: 1.0619713068008423
Contrastive loss: 0.337646484375 | Regression loss: 1.3190633058547974
Contrastive loss: 0.156982421875 | Regression loss: 1.2632107734680176
Contrastive loss: 0.216552734375 | Regression loss: 1.856499195098877
Contrastive loss: 0.0888671875 | Regression loss: 0.6816171407699585
Contrastive loss: 0.2757161557674408 | Regression loss: 1.2613074779510498
Contrastive loss: 0.1332194060087204 | Regression loss: 2.708709478378296
Contrastive loss: 0.080322265625 | Regression loss: 1.5681228637695312
Contrastive loss: 0.137451171875 | Regression loss: 0.43405312299728394
Contrastive loss: 0.2125651091337204 | Regression loss: 0.8446685075759888
Contrastive loss: 0.143798828125 | Regression loss: 1.5736470222473145
Contrastive loss: 0.1663004606962204 | Regression loss: 1.7310869693756104
Contrastive loss: 0.1288655698299408 | Regression loss: 0.9646594524383545
Contrastive loss: 0.1347249448299408 | Regression loss: 1.0938140153884888
Contrastive loss: 0.1080729216337204 | Regression loss: 0.9983235597610474
Contrastive loss: 0.0936686247587204 | Regression loss: 1.610572338104248
Contrastive loss: 0.1251220703125 | Regression loss: 1.1935064792633057
Contrastive loss: 0.2915446162223816 | Regression loss: 0.9758393168449402
Contrastive loss: 0.1679280698299408 | Regression loss: 0.9535949230194092
Contrastive loss: 0.2423502653837204 | Regression loss: 1.2619140148162842
Contrastive loss: 0.40673828125 | Regression loss: 0.6542494297027588
Contrastive loss: 0.1763916015625 | Regression loss: 1.7934846878051758
Contrastive loss: 0.1107991561293602 | Regression loss: 0.9593008756637573
Contrastive loss: 0.07611083984375 | Regression loss: 1.0752217769622803
Contrastive loss: 0.2122802734375 | Regression loss: 0.8269504904747009
Contrastive loss: 0.0831298828125 | Regression loss: 1.621954321861267
Contrastive loss: 0.1272379606962204 | Regression loss: 1.1848924160003662
Contrastive loss: 0.2682291865348816 | Regression loss: 1.8322585821151733
Contrastive loss: 0.0694173201918602 | Regression loss: 1.0539060831069946
Contrastive loss: 0.146728515625 | Regression loss: 1.5792237520217896
Contrastive loss: 0.045654296875 | Regression loss: 1.1768783330917358
Contrastive loss: 0.1698811948299408 | Regression loss: 2.222555637359619
Contrastive loss: 0.0515543632209301 | Regression loss: 1.2593059539794922
Contrastive loss: 0.1050211638212204 | Regression loss: 1.725750207901001
Contrastive loss: 0.0 | Regression loss: 1.0558565855026245
Contrastive loss: 0.0 | Regression loss: 1.1915370225906372
Contrastive loss: 0.1490071713924408 | Regression loss: 1.7995669841766357
Contrastive loss: 0.1564534604549408 | Regression loss: 1.0053725242614746
Contrastive loss: 0.0835367888212204 | Regression loss: 1.2473350763320923
Contrastive loss: 0.0669352263212204 | Regression loss: 1.5649700164794922
Contrastive loss: 0.1756184995174408 | Regression loss: 0.9383958578109741
Contrastive loss: 0.1922200620174408 | Regression loss: 0.6643101572990417
Contrastive loss: 0.1857503354549408 | Regression loss: 1.1078712940216064
Contrastive loss: 0.109375 | Regression loss: 1.7078319787979126
Contrastive loss: 0.1360677182674408 | Regression loss: 1.1456501483917236
Contrastive loss: 0.2071126401424408 | Regression loss: 0.948387861251831
Contrastive loss: 0.2164713591337204 | Regression loss: 1.205016016960144
Contrastive loss: 0.0 | Regression loss: 1.1332632303237915
Contrastive loss: 0.1178792342543602 | Regression loss: 0.9420443773269653
Contrastive loss: 0.2006429135799408 | Regression loss: 0.7078242301940918
Contrastive loss: 0.2254231870174408 | Regression loss: 1.4078108072280884
Contrastive loss: 0.1015218123793602 | Regression loss: 0.80704665184021
Contrastive loss: 0.2650960385799408 | Regression loss: 1.5915806293487549
Contrastive loss: 0.1318766325712204 | Regression loss: 0.8490676879882812
Contrastive loss: 0.0741373747587204 | Regression loss: 0.5843550562858582
Contrastive loss: 0.28857421875 | Regression loss: 1.870790958404541
Contrastive loss: 0.1745198667049408 | Regression loss: 2.0169501304626465
Contrastive loss: 0.2344970703125 | Regression loss: 0.5154953598976135
Contrastive loss: 0.1300048828125 | Regression loss: 0.8582053184509277
Contrastive loss: 0.1763102263212204 | Regression loss: 1.3530333042144775
Contrastive loss: 0.0775146484375 | Regression loss: 1.8024578094482422
Contrastive loss: 0.1046956405043602 | Regression loss: 1.7440822124481201
Contrastive loss: 0.1588948667049408 | Regression loss: 0.6738117337226868
Contrastive loss: 0.2231852263212204 | Regression loss: 1.190680742263794
Contrastive loss: 0.1329752653837204 | Regression loss: 0.7654879689216614
Contrastive loss: 0.0684814453125 | Regression loss: 0.7627590298652649
Contrastive loss: 0.2002767026424408 | Regression loss: 1.3248343467712402
Contrastive loss: 0.00830078125 | Regression loss: 0.7761957049369812
Contrastive loss: 0.25146484375 | Regression loss: 1.6940022706985474
Contrastive loss: 0.1847737729549408 | Regression loss: 0.7968382835388184
Contrastive loss: 0.1642252653837204 | Regression loss: 0.5687669515609741
Contrastive loss: 0.1899007260799408 | Regression loss: 0.2863040566444397
Contrastive loss: 0.1481119841337204 | Regression loss: 1.2699711322784424
Contrastive loss: 0.136962890625 | Regression loss: 1.0012763738632202
Contrastive loss: 0.0430094413459301 | Regression loss: 0.9984190464019775
Contrastive loss: 0.0788167342543602 | Regression loss: 1.6565114259719849
Contrastive loss: 0.08056640625 | Regression loss: 1.1458210945129395
Contrastive loss: 0.0907389372587204 | Regression loss: 0.7294542193412781
Contrastive loss: 0.1567789763212204 | Regression loss: 0.9522945284843445
Contrastive loss: 0.0768229216337204 | Regression loss: 1.2317864894866943
Contrastive loss: 0.1483154296875 | Regression loss: 0.6454166173934937
Contrastive loss: 0.1138916015625 | Regression loss: 1.4237408638000488
Contrastive loss: 0.2762451171875 | Regression loss: 2.0337231159210205
Contrastive loss: 0.0 | Regression loss: 1.0523637533187866
Contrastive loss: 0.156005859375 | Regression loss: 0.5464340448379517
Contrastive loss: 0.2925618588924408 | Regression loss: 0.968169629573822
Contrastive loss: 0.171875 | Regression loss: 0.540741503238678
Contrastive loss: 0.1029459685087204 | Regression loss: 1.8263988494873047
Contrastive loss: 0.0399169921875 | Regression loss: 1.2409214973449707
Contrastive loss: 0.1781005859375 | Regression loss: 1.8127038478851318
Contrastive loss: 0.1132405623793602 | Regression loss: 1.033003330230713
Contrastive loss: 0.1937255859375 | Regression loss: 1.503844141960144
Contrastive loss: 0.1785888671875 | Regression loss: 1.2571399211883545
Contrastive loss: 0.2120768278837204 | Regression loss: 0.5050321817398071
Contrastive loss: 0.1641845703125 | Regression loss: 0.7094346880912781
Contrastive loss: 0.2045084685087204 | Regression loss: 1.3513903617858887
Contrastive loss: 0.2283528745174408 | Regression loss: 1.2801251411437988
Contrastive loss: 0.1515299528837204 | Regression loss: 1.3086565732955933
Contrastive loss: 0.1938069760799408 | Regression loss: 0.9019025564193726
Contrastive loss: 0.175048828125 | Regression loss: 1.2485156059265137
Contrastive loss: 0.0670979842543602 | Regression loss: 0.5638235807418823
Contrastive loss: 0.0796305388212204 | Regression loss: 0.9413537979125977
Contrastive loss: 0.0923665389418602 | Regression loss: 1.482262134552002
Contrastive loss: 0.1633707731962204 | Regression loss: 1.2046477794647217
Contrastive loss: 0.1505940854549408 | Regression loss: 0.7527408599853516
Contrastive loss: 0.1018880233168602 | Regression loss: 1.073294997215271
Contrastive loss: 0.02783203125 | Regression loss: 1.0237444639205933
Contrastive loss: 0.1564534604549408 | Regression loss: 1.3887709379196167
Contrastive loss: 0.1944173276424408 | Regression loss: 0.8095501065254211
Contrastive loss: 0.1839599609375 | Regression loss: 1.2948698997497559
Contrastive loss: 0.165771484375 | Regression loss: 0.8717620372772217
Contrastive loss: 0.2725016474723816 | Regression loss: 1.703977346420288
Contrastive loss: 0.1499430388212204 | Regression loss: 1.1292380094528198
Contrastive loss: 0.1311442106962204 | Regression loss: 0.6847659945487976
Contrastive loss: 0.0682373046875 | Regression loss: 0.7848818898200989
Contrastive loss: 0.1273600310087204 | Regression loss: 1.0958199501037598
Contrastive loss: 0.0256754569709301 | Regression loss: 0.7988885045051575
Contrastive loss: 0.2100830078125 | Regression loss: 0.6809252500534058
Contrastive loss: 0.0373128280043602 | Regression loss: 0.6191022992134094
Contrastive loss: 0.2140299528837204 | Regression loss: 0.8008522987365723
Contrastive loss: 0.0829264372587204 | Regression loss: 0.8363217115402222
Contrastive loss: 0.1304931640625 | Regression loss: 1.3530781269073486
Contrastive loss: 0.1078694686293602 | Regression loss: 1.5140635967254639
Contrastive loss: 0.119384765625 | Regression loss: 0.8331918716430664
Contrastive loss: 0.0998128280043602 | Regression loss: 1.5809394121170044
Contrastive loss: 0.1470133513212204 | Regression loss: 1.2347643375396729
Contrastive loss: 0.1472574919462204 | Regression loss: 0.9103429913520813
Contrastive loss: 0.1336669921875 | Regression loss: 1.5088396072387695
